,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,999.0,11.37,12.68,19.85,15.63,20.18,12.78,20.63,23.36,21.07,15.08,23.73,16.49,21.06,16.56,4.15,19.37,10.81,9.91,18.92,2.62,20.19,19.08,20.79,18.4,14.36,26.06,24.33,9.3,19.16,22.83,10.67,20.8,1.89,17.18,22.93,0.33,11.19,20.98,19.67,19.13,19.23,19.93,23.12,2.7,17.67,0.98,19.16,24.88,22.08,6.8,25.12,8.95,11.16,7.88,17.67,19.49,17.38,8.89,16.48,25.23,5.24,21.11,21.9,25.64,20.74,24.62,18.34,11.74,17.71,23.54,21.3,14.2,16.51,18.87,12.66,15.68,21.63,21.1,24.16,19.64,18.25,19.16,18.12,22.11,19.38,13.67,17.87,17.15,20.45,21.57,24.31,22.64,20.43,19.16,15.52,6.61,22.77,24.99,3.2
2,11.37,999.0,1.37,8.73,6.38,8.88,7.33,10.07,12.56,13.47,6.69,12.53,5.44,10.93,5.38,7.48,9.24,6.22,2.9,8.77,9.58,9.4,8.9,9.52,7.11,4.85,15.05,13.08,2.15,7.8,12.52,6.62,10.22,11.0,10.73,11.57,11.65,0.82,9.88,8.92,7.88,12.84,11.39,12.24,13.39,7.08,10.5,7.8,14.02,11.06,4.61,14.18,3.33,0.64,6.47,7.08,8.38,11.48,3.3,6.35,13.95,6.13,9.75,11.5,14.41,11.25,13.44,7.84,4.13,7.3,31.4,10.16,4.11,6.43,7.51,3.44,8.77,10.95,12.75,13.06,8.39,10.99,7.8,7.93,10.77,8.98,2.3,6.86,6.99,9.1,10.96,13.35,12.25,12.24,7.8,5.04,4.93,12.18,14.3,9.67
3,12.68,1.37,999.0,7.36,5.44,7.53,7.98,8.75,11.21,12.58,5.96,11.37,4.09,9.67,4.01,8.73,8.57,6.46,4.09,8.12,10.81,8.47,8.23,8.33,5.76,4.76,13.98,11.72,3.39,6.51,11.71,6.9,9.37,12.35,10.14,10.25,12.97,1.93,8.79,7.58,6.73,12.16,10.39,10.88,14.64,6.32,11.8,6.51,13.0,10.0,5.96,12.82,4.64,1.82,7.27,6.32,7.31,10.94,4.62,5.84,12.75,7.44,8.49,10.19,13.22,10.09,12.3,7.09,4.81,6.61,32.2,9.07,3.88,5.92,6.22,3.76,8.21,10.05,11.75,11.96,7.24,10.24,6.51,7.3,9.52,7.7,1.15,5.89,6.42,7.84,10.09,12.3,10.94,11.28,6.51,4.48,6.17,11.29,13.35,10.85
4,19.85,8.73,7.36,999.0,5.72,1.37,13.57,2.55,4.04,9.7,6.91,6.84,3.36,4.05,3.35,15.76,8.75,10.97,11.23,8.57,17.73,7.02,8.55,4.66,1.91,9.16,9.7,4.55,10.6,2.92,10.0,11.4,8.04,19.67,9.85,4.03,20.15,9.2,5.91,1.58,4.53,10.86,7.25,3.62,21.56,7.17,18.92,2.92,9.41,6.85,13.28,5.48,11.93,9.14,13.19,7.17,5.39,10.77,11.92,8.17,7.5,14.66,3.68,3.83,8.09,5.52,7.67,7.48,11.04,7.64,36.95,5.89,8.41,8.25,2.98,9.6,8.79,8.09,8.22,7.79,4.6,8.93,2.92,8.24,4.48,2.69,6.66,5.82,8.16,3.48,8.32,8.58,4.41,8.18,2.92,7.54,13.24,9.06,10.18,17.64
5,15.63,6.38,5.44,5.72,999.0,6.81,13.41,5.31,8.1,7.14,1.21,12.23,3.68,5.46,4.22,11.49,12.03,5.52,9.27,11.67,13.22,11.01,11.73,9.48,5.57,9.76,15.12,10.02,7.28,7.21,14.39,5.9,12.08,15.89,5.13,9.74,15.95,7.17,10.51,4.73,8.47,6.92,5.02,8.0,16.89,9.82,14.65,7.21,14.59,11.68,9.88,9.96,9.55,7.0,8.15,9.82,9.37,6.04,9.5,10.04,13.11,10.84,8.91,6.38,13.7,5.19,13.12,10.47,10.26,10.26,31.23,10.63,8.82,10.14,7.03,9.14,3.48,12.46,6.37,13.1,8.83,4.91,7.21,11.0,9.89,4.04,5.73,8.74,10.41,8.45,12.61,13.76,7.1,5.86,7.21,8.81,9.27,13.63,15.22,12.96
6,20.18,8.88,7.53,1.37,6.81,999.0,12.99,3.82,4.69,11.07,8.02,5.53,3.87,5.33,3.66,16.15,7.57,11.83,11.15,7.42,18.18,5.74,7.4,3.3,1.78,8.57,8.41,4.21,10.88,1.86,8.64,12.27,6.74,19.88,11.16,3.0,20.48,9.24,4.56,2.95,3.38,12.22,8.62,4.2,22.02,6.18,19.28,1.86,8.07,5.48,13.49,5.79,11.93,9.21,13.86,6.18,4.17,12.09,11.93,7.32,6.3,14.95,2.31,4.96,6.89,6.86,6.38,6.41,10.69,6.64,37.96,4.53,7.91,7.39,2.02,9.24,10.02,6.75,9.57,6.46,3.36,10.28,1.86,7.18,3.16,4.06,6.66,4.85,7.22,2.13,6.99,7.23,5.44,9.55,1.86,6.88,13.6,7.69,8.82,18.14
7,12.78,7.33,7.98,13.57,13.41,12.99,999.0,15.7,17.58,20.54,13.92,13.77,11.14,16.93,10.76,10.69,8.05,13.15,5.02,7.71,12.43,9.71,7.86,11.58,11.65,4.43,15.26,16.84,7.91,11.22,11.21,13.48,9.81,11.38,18.04,14.59,12.92,6.52,11.08,14.45,10.17,20.12,18.28,17.13,15.43,7.47,12.33,11.22,13.89,11.78,7.72,18.77,5.56,6.71,12.27,7.47,9.96,18.8,5.66,6.03,15.39,9.05,12.5,17.17,15.61,17.7,14.46,7.79,3.2,7.2,35.77,11.42,5.17,6.0,11.0,4.3,16.09,10.67,19.62,13.79,10.54,18.21,11.22,7.18,13.16,14.94,7.77,8.48,6.47,11.94,10.5,13.57,17.85,19.2,11.22,6.11,9.16,11.52,13.68,12.93
8,20.63,10.07,8.75,2.55,5.31,3.82,15.7,999.0,2.79,7.38,6.3,8.92,4.73,1.51,4.99,16.48,11.3,10.83,12.81,11.11,18.33,9.55,11.1,7.11,4.24,11.36,11.67,5.08,11.66,5.46,12.44,11.21,10.56,20.67,8.23,5.73,20.95,10.67,8.38,1.26,7.08,8.85,5.03,2.7,22.08,9.66,19.67,5.46,11.58,9.23,14.38,4.64,13.38,10.57,13.41,9.66,7.94,9.09,13.36,10.58,9.26,15.6,6.03,1.48,9.86,3.09,9.65,10.02,12.96,10.14,36.14,8.32,10.55,10.67,5.51,11.56,7.61,10.57,5.83,9.9,7.14,7.09,5.46,10.76,6.65,1.28,8.31,8.32,10.63,5.95,10.81,10.75,2.2,5.9,5.46,9.83,14.08,11.47,12.41,18.14
9,23.36,12.56,11.21,4.04,8.1,4.69,17.58,2.79,999.0,8.74,9.06,8.28,7.12,3.15,7.26,19.21,12.07,13.62,15.18,11.98,21.09,10.08,11.93,7.43,5.94,13.16,10.68,3.19,14.28,6.55,12.43,13.99,10.95,23.34,10.5,4.97,23.67,13.1,8.65,3.7,8.0,10.69,6.82,0.52,24.86,10.86,22.41,6.55,10.92,9.18,17.0,1.86,15.84,13.02,16.2,10.86,8.69,11.29,15.82,12.0,8.11,18.27,6.22,2.04,8.68,4.68,8.79,11.03,15.07,11.31,38.69,8.48,12.43,12.08,6.71,13.64,10.17,10.74,7.15,9.24,7.88,9.21,6.55,11.81,6.41,4.08,10.62,9.54,11.9,6.42,11.0,10.16,1.73,7.46,6.55,11.51,16.78,11.39,11.83,20.91
10,21.07,13.47,12.58,9.7,7.14,11.07,20.54,7.38,8.74,999.0,6.84,16.3,9.95,6.0,10.48,17.18,18.1,10.28,16.33,17.83,18.47,16.6,17.85,14.36,10.85,16.74,19.01,11.88,14.05,12.42,19.69,10.4,17.66,21.77,3.98,13.06,21.4,14.28,15.6,8.12,14.01,2.54,2.5,9.06,21.67,16.13,20.11,12.42,18.96,16.54,16.41,10.15,16.51,14.11,13.2,16.13,14.92,4.14,16.45,16.68,16.54,17.0,13.35,6.88,17.13,4.31,17.0,16.65,17.4,16.61,31.4,15.59,15.81,16.78,12.38,16.26,5.43,17.78,1.6,17.28,14.18,2.83,12.42,17.31,14.03,7.04,12.81,14.86,16.92,13.18,18.0,18.13,7.01,1.53,12.42,15.59,15.46,18.76,19.78,18.01
